연도,분야,주요내용
2017,법률,"o 국가법령 중 교통사고, 층간소음, 창업 인허가 분야의 관련 법령, 조문, 판례, 법률용어 데이터 11만건"
2017,특허,"o 국내 출원·등록된 전기·전자분야의 특허정보, 심사정보, 특허전문기술용어 데이터 100만건"
2017,일반상식,o 한국어 위키백과에서 활용도가 높은 일반상식 데이터 15만건
2017,이미지,o 한국인 안면 이미지 600만장(200명) 및 한국음식 이미지 데이터 15만장(150종)
2018,헬스케어,"o 안저 이미지에 주요 질환(녹내장, 황반변성, 당뇨망막증 등)의 전문의 검사소견을 결합한 데이터셋 3천장"
2018,관 광,"o 주요 관광특구내 식당, 시설의 이미지에 각종 다국어(한,영,중,일) 정보(명칭, 위치, 메뉴, 관광정보 등)를 결합한 데이터셋 150만건"
2018,농 업,"o 국내 농작물의 영농정보, 상담정보, 지원사업정보 등을 가공한 데이터 및 농작물 병충해 이미지 데이터 5만건"
2018,특 허,"o 전기·전자, 기계 화학 분야의 출원, 등록된 특허 청구항 정보, 특허전문기술용어 데이터 70만건"
2018,법 령,"o 이혼, 한부모가족, 학교폭력, 퇴직금개 분야 법령정보(법령, 판례, 사례, 용어 등) 데이터 10만건"
2018,이미지,o 한국인 안면이미지(200명) 구축 및 국산차량(100종)에 대한 이미지 데이터 615여만장
2019,한국어 음성,"o 한국어 음성 인식 성능을 향상시키기 위해 자유연속발화, 소음 환경 등을 고려한 음성 데이터 1,000시간"
2019,한국어 대화,"o 영상에서 인물의 표정, 음성(억양), 발화 내용 등의 감정이 포함된 멀티모달 영상 데이터 20시간"
2019,멀티모달,o 중소상인 비즈니스에 적용가능한 한국어 챗봇 구축을 위한 한국어 표준 대화 시나리오 데이터 50만건
2019,기계독해,o 지문으로부터 AI가 학습을 통해 질의에 대한 답변을 추론하는 딥러닝 기반 기계독해(MRC) 데이터 40만건
2019,한영 번역 말뭉치,o 한국어 인공지능 번역 기술개발 및 성능강화를 위한 한국어-영어 병렬 말뭉치 데이터 160만건
2019,사물 이미지,"o 한국형 객체, 장소, 상황 인지기술 개발 및 성능강화를 위한 사물/거리/건물/랜드마크 등 사물 이미지 데이터 360만건"
2019,글자체 이미지,o 한글 광학글자인식(OCR) 성능개선을 위한 한글 글자체(손글씨 및 인쇄체) 이미지 660만건(580만자)
2019,인도보행 영상,"o 시각장애인/전동휠체어 등의 보행지원기술 개발을 위한 국내 인도·횡단보도 보행 영상 및 인도위 객체(사람, 자전거, 가로수, 펜스 등) 라벨링 데이터 67만건(200시간)"
2019,멀티모달 영상,"o 감성인식 AI개발을 위해 동영상에서 인물의 표정, 음성, 발화 내용, 상황 등의 정보가 포함된 멀티모달 영상 데이터 6천 건(100시간)"
2019,사람동작 영상,o 사람의 동작·자세·행동 인식기술 개발을 위해 다양한 조건에서 사람 동작 영상 데이터 50만건(20만 클립)
2019,안면 이미지,"o 다양한 각도, 조도 등의 환경 하에서 안면인식·식별 성능강화를 위한 한국인 얼굴 이미지 데이터 1,944만장"
2019,위해물품 엑스레이 이미지,"o 위험물·도구 자동판별 기술개발 및 성능개선을 위한 위험물, 범죄 도구, 반입금지물품 등의 X-ray 이미지 48만장"
2019,질병진단 이미지,"o 안저질환 이미지, 유방암 엑스레이 이미지 및 진단결과(질환 및 정상)를 라벨링한 질병진단 이미지 데이터 3만장"
2019,이상행동 CCTV 영상,o CCTV 영상에서 사람 등의 이상행동 지능형 탐지기술개발 및 성능 강화를 위한 이상행동 영상 데이터 8천 클립(700시간)
2020,문서요약 텍스트 AI데이터,"o AI가 텍스트를 이해하고 핵심 내용을 요약적으로 전달하기 위해 AI SW가 해당 텍스트의 주요 내용이 무엇인지를 이해할 수 있는 형태로 가공된, 다양한 유형의 대규모 요약 텍스트 데이터(원문 40만건)"
2020,대용량 동영상 콘텐츠 AI데이터,"o 대용량 동영상 내 객체 탐지, 상황 이해, 행동 분석을 위한 대용량 동영상 AI 데이터 500시간"
